Episode_Number,person_scene,Line_Count,Total_Lines,Line_Percentage
17,Penny,65.0,199.0,32.663316582914575
17,Raj,3.0,199.0,1.507537688442211
17,Howard,14.0,199.0,7.035175879396985
17,Bernadette,0.0,0.0,0.0
17,Amy,0.0,0.0,0.0
17,Stuart,0.0,0.0,0.0
18,Leonard,61.0,224.0,27.232142857142854
18,Sheldon,71.0,224.0,31.69642857142857
18,Penny,41.0,224.0,18.303571428571427
18,Raj,23.0,224.0,10.267857142857142
18,Howard,28.0,224.0,12.5
18,Bernadette,0.0,0.0,0.0
18,Amy,0.0,0.0,0.0
18,Stuart,0.0,0.0,0.0
19,Leonard,66.0,201.0,32.83582089552239
19,Sheldon,73.0,201.0,36.318407960199
19,Penny,34.0,201.0,16.91542288557214
19,Raj,13.0,201.0,6.467661691542288
19,Howard,15.0,201.0,7.462686567164178
19,Bernadette,0.0,0.0,0.0
19,Amy,0.0,0.0,0.0
19,Stuart,0.0,0.0,0.0
20,Leonard,33.0,190.0,17.36842105263158
20,Sheldon,83.0,190.0,43.684210526315795
20,Penny,60.0,190.0,31.57894736842105
20,Raj,5.0,190.0,2.631578947368421
20,Howard,9.0,190.0,4.736842105263158
20,Bernadette,0.0,0.0,0.0
20,Amy,0.0,0.0,0.0
20,Stuart,0.0,0.0,0.0
21,Leonard,56.0,223.0,25.112107623318387
21,Sheldon,53.0,223.0,23.766816143497756
21,Penny,27.0,223.0,12.10762331838565
21,Raj,50.0,223.0,22.421524663677133
21,Howard,37.0,223.0,16.591928251121075
21,Bernadette,0.0,0.0,0.0
21,Amy,0.0,0.0,0.0
21,Stuart,0.0,0.0,0.0
22,Leonard,45.0,193.0,23.316062176165804
22,Sheldon,89.0,193.0,46.1139896373057
22,Penny,34.0,193.0,17.616580310880828
22,Raj,7.0,193.0,3.6269430051813467
22,Howard,18.0,193.0,9.32642487046632
22,Bernadette,0.0,0.0,0.0
22,Amy,0.0,0.0,0.0
22,Stuart,0.0,0.0,0.0
23,Leonard,47.0,164.0,28.65853658536585
23,Sheldon,69.0,164.0,42.073170731707314
23,Penny,31.0,164.0,18.902439024390244
23,Raj,5.0,164.0,3.048780487804878
23,Howard,12.0,164.0,7.317073170731707
23,Bernadette,0.0,0.0,0.0
23,Amy,0.0,0.0,0.0
23,Stuart,0.0,0.0,0.0
24,Leonard,58.0,247.0,23.481781376518217
24,Sheldon,67.0,247.0,27.125506072874494
24,Penny,69.0,247.0,27.93522267206478
24,Raj,12.0,247.0,4.8582995951417
24,Howard,41.0,247.0,16.599190283400812
24,Bernadette,0.0,0.0,0.0
24,Amy,0.0,0.0,0.0
24,Stuart,0.0,0.0,0.0
25,Leonard,65.0,184.0,35.32608695652174
25,Sheldon,45.0,184.0,24.456521739130434
25,Penny,19.0,184.0,10.326086956521738
25,Raj,18.0,184.0,9.782608695652174
25,Howard,37.0,184.0,20.108695652173914
25,Bernadette,0.0,0.0,0.0
25,Amy,0.0,0.0,0.0
25,Stuart,0.0,0.0,0.0
26,Leonard,48.0,178.0,26.96629213483146
26,Sheldon,79.0,178.0,44.38202247191011
26,Penny,33.0,178.0,18.53932584269663
26,Raj,8.0,178.0,4.49438202247191
26,Howard,10.0,178.0,5.617977528089887
26,Bernadette,0.0,0.0,0.0
26,Amy,0.0,0.0,0.0
26,Stuart,0.0,0.0,0.0
27,Leonard,83.0,176.0,47.159090909090914
27,Sheldon,33.0,176.0,18.75
27,Penny,43.0,176.0,24.431818181818183
27,Raj,6.0,176.0,3.4090909090909087
27,Howard,11.0,176.0,6.25
27,Bernadette,0.0,0.0,0.0
27,Amy,0.0,0.0,0.0
27,Stuart,0.0,0.0,0.0
28,Leonard,59.0,185.0,31.891891891891895
28,Sheldon,40.0,185.0,21.62162162162162
28,Penny,49.0,185.0,26.486486486486488
28,Raj,11.0,185.0,5.9459459459459465
28,Howard,26.0,185.0,14.054054054054054
28,Bernadette,0.0,0.0,0.0
28,Amy,0.0,0.0,0.0
28,Stuart,0.0,0.0,0.0
29,Leonard,43.0,179.0,24.022346368715084
29,Sheldon,30.0,179.0,16.75977653631285
29,Penny,46.0,179.0,25.69832402234637
29,Raj,20.0,179.0,11.1731843575419
29,Howard,40.0,179.0,22.3463687150838
29,Bernadette,0.0,0.0,0.0
29,Amy,0.0,0.0,0.0
29,Stuart,0.0,0.0,0.0
30,Leonard,42.0,162.0,25.925925925925924
30,Sheldon,71.0,162.0,43.82716049382716
30,Penny,19.0,162.0,11.728395061728394
30,Raj,10.0,162.0,6.172839506172839
30,Howard,20.0,162.0,12.345679012345679
30,Bernadette,0.0,0.0,0.0
30,Amy,0.0,0.0,0.0
30,Stuart,0.0,0.0,0.0
31,Leonard,81.0,238.0,34.03361344537815
31,Sheldon,57.0,238.0,23.949579831932773
31,Penny,66.0,238.0,27.73109243697479
31,Raj,15.0,238.0,6.302521008403361
31,Howard,19.0,238.0,7.9831932773109235
31,Bernadette,0.0,0.0,0.0
31,Amy,0.0,0.0,0.0
31,Stuart,0.0,0.0,0.0
32,Leonard,61.0,157.0,38.853503184713375
32,Sheldon,29.0,157.0,18.471337579617835
32,Penny,45.0,157.0,28.662420382165603
32,Raj,6.0,157.0,3.821656050955414
32,Howard,16.0,157.0,10.191082802547772
32,Bernadette,0.0,0.0,0.0
32,Amy,0.0,0.0,0.0
32,Stuart,0.0,0.0,0.0
33,Leonard,61.0,205.0,29.756097560975608
33,Sheldon,47.0,205.0,22.926829268292686
33,Penny,34.0,205.0,16.585365853658537
33,Raj,8.0,205.0,3.902439024390244
33,Howard,55.0,205.0,26.82926829268293
33,Bernadette,0.0,0.0,0.0
33,Amy,0.0,0.0,0.0
33,Stuart,0.0,0.0,0.0
34,Leonard,52.0,190.0,27.368421052631582
34,Sheldon,59.0,190.0,31.05263157894737
34,Penny,24.0,190.0,12.631578947368421
34,Raj,21.0,190.0,11.052631578947368
34,Howard,34.0,190.0,17.894736842105264
34,Bernadette,0.0,0.0,0.0
34,Amy,0.0,0.0,0.0
34,Stuart,0.0,0.0,0.0
35,Leonard,39.0,215.0,18.13953488372093
35,Sheldon,71.0,215.0,33.02325581395349
35,Penny,75.0,215.0,34.883720930232556
35,Raj,7.0,215.0,3.255813953488372
35,Howard,23.0,215.0,10.69767441860465
35,Bernadette,0.0,0.0,0.0
35,Amy,0.0,0.0,0.0
35,Stuart,0.0,0.0,0.0
36,Leonard,37.0,174.0,21.26436781609195
36,Sheldon,54.0,174.0,31.03448275862069
36,Penny,65.0,174.0,37.35632183908046
36,Raj,3.0,174.0,1.7241379310344827
36,Howard,15.0,174.0,8.620689655172415
36,Bernadette,0.0,0.0,0.0
36,Amy,0.0,0.0,0.0
36,Stuart,0.0,0.0,0.0
37,Leonard,48.0,218.0,22.018348623853214
37,Sheldon,51.0,218.0,23.394495412844037
37,Penny,31.0,218.0,14.220183486238533
37,Raj,16.0,218.0,7.339449541284404
37,Howard,42.0,218.0,19.26605504587156
37,Bernadette,0.0,0.0,0.0
37,Amy,0.0,0.0,0.0
37,Stuart,30.0,218.0,13.761467889908257
38,Leonard,44.0,213.0,20.657276995305164
38,Sheldon,59.0,213.0,27.699530516431924
38,Penny,45.0,213.0,21.12676056338028
38,Raj,36.0,213.0,16.901408450704224
38,Howard,29.0,213.0,13.615023474178404
38,Bernadette,0.0,0.0,0.0
38,Amy,0.0,0.0,0.0
38,Stuart,0.0,0.0,0.0
39,Leonard,67.0,208.0,32.21153846153847
39,Sheldon,33.0,208.0,15.865384615384615
39,Penny,19.0,208.0,9.134615384615383
39,Raj,21.0,208.0,10.096153846153847
39,Howard,35.0,208.0,16.826923076923077
39,Bernadette,0.0,0.0,0.0
39,Amy,0.0,0.0,0.0
39,Stuart,33.0,208.0,15.865384615384615
40,Leonard,71.0,223.0,31.838565022421523
40,Sheldon,80.0,223.0,35.874439461883405
40,Penny,31.0,223.0,13.901345291479823
40,Raj,17.0,223.0,7.623318385650224
40,Howard,24.0,223.0,10.762331838565023
40,Bernadette,0.0,0.0,0.0
40,Amy,0.0,0.0,0.0
40,Stuart,0.0,0.0,0.0
41,Leonard,49.0,179.0,27.37430167597765
41,Sheldon,50.0,179.0,27.932960893854748
41,Penny,35.0,179.0,19.553072625698324
41,Raj,18.0,179.0,10.05586592178771
41,Howard,27.0,179.0,15.083798882681565
41,Bernadette,0.0,0.0,0.0
41,Amy,0.0,0.0,0.0
41,Stuart,0.0,0.0,0.0
42,Leonard,44.0,202.0,21.782178217821784
42,Sheldon,63.0,202.0,31.18811881188119
42,Penny,31.0,202.0,15.346534653465346
42,Raj,29.0,202.0,14.356435643564355
42,Howard,35.0,202.0,17.326732673267326
42,Bernadette,0.0,0.0,0.0
42,Amy,0.0,0.0,0.0
42,Stuart,0.0,0.0,0.0
43,Leonard,38.0,199.0,19.09547738693467
43,Sheldon,43.0,199.0,21.608040201005025
43,Penny,30.0,199.0,15.07537688442211
43,Raj,38.0,199.0,19.09547738693467
43,Howard,50.0,199.0,25.125628140703515
43,Bernadette,0.0,0.0,0.0
43,Amy,0.0,0.0,0.0
43,Stuart,0.0,0.0,0.0
44,Leonard,32.0,225.0,14.222222222222221
44,Sheldon,66.0,225.0,29.333333333333332
44,Penny,24.0,225.0,10.666666666666668
44,Raj,71.0,225.0,31.555555555555554
44,Howard,32.0,225.0,14.222222222222221
44,Bernadette,0.0,0.0,0.0
44,Amy,0.0,0.0,0.0
44,Stuart,0.0,0.0,0.0
45,Leonard,38.0,214.0,17.75700934579439
45,Sheldon,45.0,214.0,21.02803738317757
45,Penny,26.0,214.0,12.149532710280374
45,Raj,29.0,214.0,13.551401869158877
45,Howard,45.0,214.0,21.02803738317757
45,Bernadette,21.0,214.0,9.813084112149532
45,Amy,0.0,0.0,0.0
45,Stuart,10.0,214.0,4.672897196261682
46,Leonard,67.0,213.0,31.455399061032864
46,Sheldon,39.0,213.0,18.30985915492958
46,Penny,32.0,213.0,15.023474178403756
46,Raj,40.0,213.0,18.779342723004692
46,Howard,35.0,213.0,16.431924882629108
46,Bernadette,0.0,0.0,0.0
46,Amy,0.0,0.0,0.0
46,Stuart,0.0,0.0,0.0
47,Leonard,59.0,228.0,25.877192982456144
47,Sheldon,61.0,228.0,26.75438596491228
47,Penny,68.0,228.0,29.82456140350877
47,Raj,14.0,228.0,6.140350877192982
47,Howard,17.0,228.0,7.456140350877193
47,Bernadette,0.0,0.0,0.0
47,Amy,0.0,0.0,0.0
47,Stuart,9.0,228.0,3.9473684210526314
48,Leonard,25.0,204.0,12.254901960784313
48,Sheldon,62.0,204.0,30.392156862745097
48,Penny,58.0,204.0,28.431372549019606
48,Raj,28.0,204.0,13.725490196078432
48,Howard,31.0,204.0,15.196078431372548
48,Bernadette,0.0,0.0,0.0
48,Amy,0.0,0.0,0.0
48,Stuart,0.0,0.0,0.0
49,Leonard,32.0,171.0,18.71345029239766
49,Sheldon,35.0,171.0,20.46783625730994
49,Penny,22.0,171.0,12.865497076023392
49,Raj,17.0,171.0,9.941520467836257
49,Howard,44.0,171.0,25.730994152046783
49,Bernadette,21.0,171.0,12.280701754385964
49,Amy,0.0,0.0,0.0
49,Stuart,0.0,0.0,0.0
50,Leonard,35.0,236.0,14.83050847457627
50,Sheldon,59.0,236.0,25.0
50,Penny,54.0,236.0,22.88135593220339
50,Raj,3.0,236.0,1.2711864406779663
50,Howard,48.0,236.0,20.33898305084746
50,Bernadette,37.0,236.0,15.677966101694915
50,Amy,0.0,0.0,0.0
50,Stuart,0.0,0.0,0.0
51,Leonard,55.0,156.0,35.256410256410255
51,Sheldon,42.0,156.0,26.923076923076923
51,Penny,51.0,156.0,32.69230769230769
51,Raj,0.0,0.0,0.0
51,Howard,8.0,156.0,5.128205128205128
51,Bernadette,0.0,0.0,0.0
51,Amy,0.0,0.0,0.0
51,Stuart,0.0,0.0,0.0
52,Leonard,39.0,181.0,21.54696132596685
52,Sheldon,50.0,181.0,27.624309392265197
52,Penny,22.0,181.0,12.154696132596685
52,Raj,40.0,181.0,22.099447513812155
52,Howard,23.0,181.0,12.70718232044199
52,Bernadette,7.0,181.0,3.867403314917127
52,Amy,0.0,0.0,0.0
52,Stuart,0.0,0.0,0.0
53,Leonard,42.0,148.0,28.37837837837838
53,Sheldon,66.0,148.0,44.5945945945946
53,Penny,22.0,148.0,14.864864864864865
53,Raj,7.0,148.0,4.72972972972973
53,Howard,11.0,148.0,7.4324324324324325
53,Bernadette,0.0,0.0,0.0
53,Amy,0.0,0.0,0.0
53,Stuart,0.0,0.0,0.0
54,Leonard,55.0,187.0,29.411764705882355
54,Sheldon,64.0,187.0,34.22459893048128
54,Penny,32.0,187.0,17.11229946524064
54,Raj,10.0,187.0,5.347593582887701
54,Howard,15.0,187.0,8.02139037433155
54,Bernadette,11.0,187.0,5.88235294117647
54,Amy,0.0,0.0,0.0
54,Stuart,0.0,0.0,0.0
55,Leonard,66.0,194.0,34.02061855670103
55,Sheldon,58.0,194.0,29.896907216494846
55,Penny,39.0,194.0,20.103092783505154
55,Raj,18.0,194.0,9.278350515463918
55,Howard,13.0,194.0,6.701030927835052
55,Bernadette,0.0,0.0,0.0
55,Amy,0.0,0.0,0.0
55,Stuart,0.0,0.0,0.0
56,Leonard,27.0,196.0,13.77551020408163
56,Sheldon,64.0,196.0,32.6530612244898
56,Penny,55.0,196.0,28.061224489795915
56,Raj,11.0,196.0,5.612244897959184
56,Howard,22.0,196.0,11.224489795918368
56,Bernadette,0.0,0.0,0.0
56,Amy,0.0,0.0,0.0
56,Stuart,17.0,196.0,8.673469387755102
57,Leonard,51.0,190.0,26.842105263157894
57,Sheldon,37.0,190.0,19.473684210526315
57,Penny,17.0,190.0,8.947368421052632
57,Raj,44.0,190.0,23.157894736842106
57,Howard,41.0,190.0,21.578947368421055
57,Bernadette,0.0,0.0,0.0
57,Amy,0.0,0.0,0.0
57,Stuart,0.0,0.0,0.0
58,Leonard,31.0,159.0,19.49685534591195
58,Sheldon,71.0,159.0,44.65408805031446
58,Penny,25.0,159.0,15.723270440251572
58,Raj,21.0,159.0,13.20754716981132
58,Howard,11.0,159.0,6.918238993710692
58,Bernadette,0.0,0.0,0.0
58,Amy,0.0,0.0,0.0
58,Stuart,0.0,0.0,0.0
59,Leonard,47.0,214.0,21.962616822429908
59,Sheldon,62.0,214.0,28.971962616822427
59,Penny,62.0,214.0,28.971962616822427
59,Raj,14.0,214.0,6.5420560747663545
59,Howard,20.0,214.0,9.345794392523365
59,Bernadette,0.0,0.0,0.0
59,Amy,0.0,0.0,0.0
59,Stuart,9.0,214.0,4.205607476635514
60,Leonard,66.0,243.0,27.160493827160494
60,Sheldon,78.0,243.0,32.098765432098766
60,Penny,56.0,243.0,23.045267489711936
60,Raj,22.0,243.0,9.053497942386832
60,Howard,21.0,243.0,8.641975308641975
60,Bernadette,0.0,0.0,0.0
60,Amy,0.0,0.0,0.0
60,Stuart,0.0,0.0,0.0
61,Leonard,64.0,213.0,30.046948356807512
61,Sheldon,63.0,213.0,29.577464788732392
61,Penny,28.0,213.0,13.145539906103288
61,Raj,30.0,213.0,14.084507042253522
61,Howard,28.0,213.0,13.145539906103288
61,Bernadette,0.0,0.0,0.0
61,Amy,0.0,0.0,0.0
61,Stuart,0.0,0.0,0.0
62,Leonard,95.0,229.0,41.48471615720524
62,Sheldon,77.0,229.0,33.624454148471614
62,Penny,26.0,229.0,11.353711790393014
62,Raj,12.0,229.0,5.240174672489083
62,Howard,19.0,229.0,8.296943231441048
62,Bernadette,0.0,0.0,0.0
62,Amy,0.0,0.0,0.0
62,Stuart,0.0,0.0,0.0
63,Leonard,63.0,218.0,28.899082568807337
63,Sheldon,52.0,218.0,23.853211009174313
63,Penny,34.0,218.0,15.59633027522936
63,Raj,28.0,218.0,12.844036697247708
63,Howard,36.0,218.0,16.51376146788991
63,Bernadette,0.0,0.0,0.0
63,Amy,5.0,218.0,2.293577981651376
63,Stuart,0.0,0.0,0.0
64,Leonard,21.0,229.0,9.170305676855897
64,Sheldon,68.0,229.0,29.694323144104807
64,Penny,73.0,229.0,31.877729257641924
64,Raj,14.0,229.0,6.11353711790393
64,Howard,39.0,229.0,17.03056768558952
64,Bernadette,0.0,0.0,0.0
64,Amy,14.0,229.0,6.11353711790393
64,Stuart,0.0,0.0,0.0
65,Leonard,69.0,188.0,36.702127659574465
65,Sheldon,56.0,188.0,29.78723404255319
65,Penny,48.0,188.0,25.53191489361702
65,Raj,4.0,188.0,2.127659574468085
65,Howard,11.0,188.0,5.851063829787234
65,Bernadette,0.0,0.0,0.0
65,Amy,0.0,0.0,0.0
65,Stuart,0.0,0.0,0.0
66,Leonard,61.0,250.0,24.4
66,Sheldon,79.0,250.0,31.6
66,Penny,21.0,250.0,8.4
66,Raj,22.0,250.0,8.799999999999999
66,Howard,29.0,250.0,11.600000000000001
66,Bernadette,0.0,0.0,0.0
66,Amy,38.0,250.0,15.2
66,Stuart,0.0,0.0,0.0
67,Leonard,28.0,227.0,12.334801762114537
67,Sheldon,40.0,227.0,17.62114537444934
67,Penny,33.0,227.0,14.537444933920703
67,Raj,32.0,227.0,14.096916299559473
67,Howard,67.0,227.0,29.515418502202646
67,Bernadette,27.0,227.0,11.894273127753303
67,Amy,0.0,0.0,0.0
67,Stuart,0.0,0.0,0.0
68,Leonard,79.0,197.0,40.10152284263959
68,Sheldon,69.0,197.0,35.025380710659896
68,Penny,0.0,0.0,0.0
68,Raj,7.0,197.0,3.5532994923857872
68,Howard,13.0,197.0,6.598984771573605
68,Bernadette,5.0,197.0,2.5380710659898478
68,Amy,20.0,197.0,10.152284263959391
68,Stuart,4.0,197.0,2.030456852791878
69,Leonard,94.0,230.0,40.869565217391305
69,Sheldon,91.0,230.0,39.565217391304344
69,Penny,0.0,0.0,0.0
69,Raj,28.0,230.0,12.173913043478262
69,Howard,17.0,230.0,7.391304347826087
69,Bernadette,0.0,0.0,0.0
69,Amy,0.0,0.0,0.0
69,Stuart,0.0,0.0,0.0
70,Leonard,33.0,174.0,18.96551724137931
70,Sheldon,81.0,174.0,46.55172413793103
70,Penny,19.0,174.0,10.919540229885058
70,Raj,23.0,174.0,13.218390804597702
70,Howard,18.0,174.0,10.344827586206897
70,Bernadette,0.0,0.0,0.0
70,Amy,0.0,0.0,0.0
70,Stuart,0.0,0.0,0.0
71,Leonard,32.0,194.0,16.49484536082474
71,Sheldon,42.0,194.0,21.649484536082475
71,Penny,32.0,194.0,16.49484536082474
71,Raj,9.0,194.0,4.639175257731959
71,Howard,19.0,194.0,9.793814432989691
71,Bernadette,23.0,194.0,11.855670103092782
71,Amy,37.0,194.0,19.072164948453608
71,Stuart,0.0,0.0,0.0
72,Leonard,62.0,208.0,29.807692307692307
72,Sheldon,20.0,208.0,9.615384615384617
72,Penny,39.0,208.0,18.75
72,Raj,36.0,208.0,17.307692307692307
72,Howard,34.0,208.0,16.346153846153847
72,Bernadette,17.0,208.0,8.173076923076923
72,Amy,0.0,0.0,0.0
72,Stuart,0.0,0.0,0.0
73,Leonard,11.0,205.0,5.365853658536586
73,Sheldon,54.0,205.0,26.34146341463415
73,Penny,22.0,205.0,10.731707317073171
73,Raj,33.0,205.0,16.097560975609756
73,Howard,35.0,205.0,17.073170731707318
73,Bernadette,7.0,205.0,3.414634146341464
73,Amy,43.0,205.0,20.975609756097562
73,Stuart,0.0,0.0,0.0
74,Leonard,48.0,175.0,27.42857142857143
74,Sheldon,47.0,175.0,26.857142857142858
74,Penny,36.0,175.0,20.57142857142857
74,Raj,16.0,175.0,9.142857142857142
74,Howard,20.0,175.0,11.428571428571429
74,Bernadette,0.0,0.0,0.0
74,Amy,0.0,0.0,0.0
74,Stuart,8.0,175.0,4.571428571428571
75,Leonard,56.0,231.0,24.242424242424242
75,Sheldon,90.0,231.0,38.961038961038966
75,Penny,42.0,231.0,18.181818181818183
75,Raj,20.0,231.0,8.658008658008658
75,Howard,23.0,231.0,9.956709956709958
75,Bernadette,0.0,0.0,0.0
75,Amy,0.0,0.0,0.0
75,Stuart,0.0,0.0,0.0
76,Leonard,35.0,219.0,15.981735159817351
76,Sheldon,32.0,219.0,14.61187214611872
76,Penny,57.0,219.0,26.027397260273972
76,Raj,8.0,219.0,3.65296803652968
76,Howard,27.0,219.0,12.32876712328767
76,Bernadette,32.0,219.0,14.61187214611872
76,Amy,28.0,219.0,12.785388127853881
76,Stuart,0.0,0.0,0.0
77,Leonard,17.0,200.0,8.5
77,Sheldon,66.0,200.0,33.0
77,Penny,57.0,200.0,28.499999999999996
77,Raj,22.0,200.0,11.0
77,Howard,19.0,200.0,9.5
77,Bernadette,12.0,200.0,6.0
77,Amy,7.0,200.0,3.5000000000000004
77,Stuart,0.0,0.0,0.0
78,Leonard,62.0,167.0,37.12574850299401
78,Sheldon,49.0,167.0,29.34131736526946
78,Penny,16.0,167.0,9.580838323353294
78,Raj,15.0,167.0,8.982035928143713
78,Howard,18.0,167.0,10.778443113772456
78,Bernadette,0.0,0.0,0.0
78,Amy,7.0,167.0,4.191616766467066
78,Stuart,0.0,0.0,0.0
79,Leonard,24.0,200.0,12.0
79,Sheldon,24.0,200.0,12.0
79,Penny,28.0,200.0,14.000000000000002
79,Raj,17.0,200.0,8.5
79,Howard,56.0,200.0,28.000000000000004
79,Bernadette,34.0,200.0,17.0
79,Amy,17.0,200.0,8.5
79,Stuart,0.0,0.0,0.0
80,Leonard,41.0,195.0,21.025641025641026
80,Sheldon,68.0,195.0,34.87179487179487
80,Penny,31.0,195.0,15.897435897435896
80,Raj,8.0,195.0,4.102564102564102
80,Howard,6.0,195.0,3.076923076923077
80,Bernadette,12.0,195.0,6.153846153846154
80,Amy,24.0,195.0,12.307692307692308
80,Stuart,5.0,195.0,2.564102564102564
81,Leonard,73.0,200.0,36.5
81,Sheldon,37.0,200.0,18.5
81,Penny,42.0,200.0,21.0
81,Raj,14.0,200.0,7.000000000000001
81,Howard,34.0,200.0,17.0
81,Bernadette,0.0,0.0,0.0
81,Amy,0.0,0.0,0.0
81,Stuart,0.0,0.0,0.0
82,Leonard,48.0,211.0,22.748815165876778
82,Sheldon,61.0,211.0,28.90995260663507
82,Penny,32.0,211.0,15.165876777251185
82,Raj,27.0,211.0,12.796208530805686
