n_clusters,linkage,Silhouette Score,CH Score,DBI Score,Rand Index,Adjusted Rand Index,Mutual Information,Normalized Mutual Information
2,ward,0.6899796318793473,1088.1623612748806,0.47946397841313737,0.6545830342335206,0.2872456066095377,0.3179697850592937,0.31908185424236946
2,complete,0.6909351427174759,334.3356479787763,0.4290010707105329,0.5520681204980321,0.05230450912720369,0.08606022835764211,0.08809665670006503
2,average,0.6909351427174759,334.3356479787763,0.4290010707105329,0.5520681204980321,0.05230450912720369,0.08606022835764211,0.08809665670006503
2,single,0.7989868807602943,35.433603610434645,0.12819113239223207,0.5325503106512537,0.0024029438603797937,0.0017162457084801007,0.005162477750374118
3,ward,0.5082541979862977,1089.9294356799096,0.6314289134608407,0.6907349191811678,0.39028769850144995,0.4154269327535672,0.4166642569162419
3,complete,0.6725804265401044,176.03419806240484,0.35817519302236756,0.5519505433302805,0.052070674588835734,0.08271514299637822,0.08734655505613806
3,average,0.6725804265401044,176.03419806240484,0.35817519302236756,0.5519505433302805,0.052070674588835734,0.08271514299637822,0.08734655505613806
3,single,0.6874668944307719,25.757211877235857,0.17309046739135978,0.5334599866333325,0.0048159758550762564,0.003394575985849046,0.010146062971233594
4,ward,0.5090031014228602,1245.5676253126308,0.6090629759960557,0.6856295947919503,0.38061719574130237,0.40084411042015233,0.4027187573004918
4,complete,0.6706745307773786,882.0047278282934,0.47592867803839234,0.7367694744919429,0.464656379903046,0.42512265625649387,0.42772319742917375
4,average,0.6574211223562021,892.0783473470227,0.481856794806099,0.7711638901953018,0.5370801425343529,0.45411942306303293,0.45649980375764543
4,single,0.6927652779693055,31.718783665463544,0.18651604630565105,0.5353040916854378,0.009684632392295662,0.009895057114877558,0.01968346358890668
5,ward,0.5114445846680877,1541.8594977639382,0.6114068077601044,0.6965209534889477,0.4062544150804302,0.42101574041229883,0.42315129355051473
5,complete,0.6524747632298803,699.7138752980168,0.6577388130880655,0.7362125300131191,0.46356215525908406,0.41682634509224825,0.42028520163577576
5,average,0.6525742416459027,683.6718957835014,0.46763878562126465,0.7710525012995371,0.5368614157137438,0.4508678529412576,0.4541897382684816
5,single,0.693605009926137,29.371882394069864,0.1828506626361115,0.5362323324834773,0.01212787556686614,0.01142252771800792,0.024201912802536234
